treshold, rate
0, 11296.900000
8, 20697.200000
16, 13036.400000
24, 12306.600000
32, 12100.800000
40, 11956.000000
48, 11847.400000
56, 11636.000000
64, 11666.500000
72, 11542.200000
80, 11380.500000
88, 11229.900000
96, 11178.300000
104, 10871.000000
112, 10736.900000
120, 10520.500000
128, 10339.300000
136, 10168.000000
144, 9974.600000
152, 9743.500000
160, 9610.300000
168, 9341.900000
176, 9159.600000
184, 9045.600000
192, 8756.800000
200, 8600.600000
208, 8519.000000
216, 8272.900000
224, 8083.400000
232, 7934.000000
240, 7810.300000
248, 7559.700000
256, 7438.000000
264, 7270.200000
272, 7136.700000
280, 7004.700000
288, 6931.100000
296, 6786.300000
304, 6596.100000
312, 6493.500000
320, 6378.600000
328, 6299.400000
336, 6165.700000
344, 6057.500000
352, 5939.300000
360, 5764.800000
368, 5710.000000
376, 5597.800000
384, 5558.800000
392, 5382.800000
400, 5349.600000
408, 5243.100000
416, 5199.600000
424, 5066.000000
432, 5009.300000
440, 4932.600000
448, 4843.800000
456, 4762.200000
464, 4709.300000
472, 4616.100000
480, 4575.100000
488, 4483.800000
496, 4429.100000
504, 4388.700000
512, 4257.100000
520, 4200.500000
528, 4207.800000
536, 4135.500000
544, 4097.200000
552, 3989.400000
560, 3916.100000
568, 3892.900000
576, 3848.200000
584, 3787.000000
592, 3761.800000
600, 3748.100000
608, 3665.800000
616, 3648.700000
624, 3611.000000
632, 3594.700000
640, 3527.600000
648, 3500.200000
656, 3471.200000
664, 3384.100000
672, 3380.600000
680, 3339.400000
688, 3293.700000
696, 3269.400000
704, 3213.700000
712, 3189.500000
720, 3161.900000
728, 3121.300000
736, 3093.600000
744, 3049.200000
752, 3026.000000
760, 2996.000000
768, 2925.300000
776, 2925.800000
784, 2894.200000
792, 2879.600000
800, 2871.200000
808, 2794.200000
816, 2808.700000
824, 2769.900000
832, 2731.800000
840, 2658.300000
848, 2620.900000
856, 2635.400000
864, 2623.100000
872, 2601.900000
880, 2533.500000
888, 2527.300000
896, 2483.900000
904, 2433.800000
912, 2462.900000
920, 2414.000000
928, 2388.200000
936, 2334.400000
944, 2318.600000
952, 2325.900000
960, 2303.200000
968, 2292.300000
976, 2266.500000
984, 2251.700000
992, 2240.500000
1000, 2187.500000
1008, 2152.500000
1016, 2151.000000
1024, 2161.800000
1032, 2118.800000
1040, 2112.300000
1048, 2098.700000
1056, 2048.500000
1064, 2049.800000
1072, 2028.700000
1080, 2043.000000
1088, 1986.000000
1096, 1968.200000
1104, 1985.600000
1112, 1949.400000
1120, 1953.800000
1128, 1941.800000
1136, 1905.100000
1144, 1881.400000
1152, 1869.300000
1160, 1836.900000
1168, 1840.900000
1176, 1818.900000
1184, 1796.000000
1192, 1775.700000
1200, 1762.100000
1208, 1782.100000
1216, 1731.800000
1224, 1727.400000
1232, 1723.500000
1240, 1694.200000
1248, 1695.400000
1256, 1658.600000
1264, 1644.900000
1272, 1644.500000
1280, 1617.200000
1288, 1619.300000
1296, 1619.000000
1304, 1587.800000
1312, 1564.400000
1320, 1561.100000
1328, 1539.600000
1336, 1522.800000
1344, 1488.200000
1352, 1489.300000
1360, 1476.500000
1368, 1460.500000
1376, 1455.200000
1384, 1419.600000
1392, 1404.400000
1400, 1403.500000
1408, 1390.200000
1416, 1374.000000
1424, 1376.600000
1432, 1351.200000
1440, 1351.500000
1448, 1337.700000
1456, 1334.900000
1464, 1331.900000
1472, 1305.800000
1480, 1296.100000
1488, 1305.700000
1496, 1301.200000
1504, 1253.800000
1512, 1260.300000
1520, 1233.700000
1528, 1226.100000
1536, 1228.900000
1544, 1228.100000
1552, 1213.200000
1560, 1195.600000
1568, 1176.400000
1576, 1167.900000
1584, 1170.400000
1592, 1151.000000
1600, 1130.800000
1608, 1147.700000
1616, 1122.500000
1624, 1106.200000
1632, 1091.400000
1640, 1084.000000
1648, 1070.300000
1656, 1081.600000
1664, 1059.300000
1672, 1033.800000
1680, 1027.700000
1688, 1036.400000
1696, 1031.100000
1704, 1029.400000
1712, 1013.500000
1720, 1015.200000
1728, 989.100000
1736, 957.100000
1744, 973.600000
1752, 977.200000
1760, 960.000000
1768, 945.700000
1776, 949.100000
1784, 945.600000
1792, 946.300000
1800, 907.600000
1808, 921.700000
1816, 906.500000
1824, 924.000000
1832, 900.900000
1840, 883.600000
1848, 883.100000
1856, 853.500000
1864, 869.500000
1872, 855.900000
1880, 834.800000
1888, 850.600000
1896, 829.200000
1904, 846.300000
1912, 819.200000
1920, 806.500000
1928, 802.300000
1936, 787.400000
1944, 783.000000
1952, 784.500000
1960, 757.200000
1968, 753.300000
1976, 755.700000
1984, 737.900000
1992, 718.500000
2000, 732.500000
2008, 731.600000
2016, 706.300000
2024, 686.700000
2032, 675.100000
2040, 670.400000
2048, 666.400000
2056, 646.000000
2064, 646.200000
2072, 612.400000
2080, 598.000000
2088, 584.300000
2096, 589.400000
2104, 579.100000
2112, 562.200000
2120, 549.900000
2128, 536.100000
2136, 537.300000
2144, 522.500000
2152, 501.400000
2160, 494.500000
2168, 495.100000
2176, 487.300000
2184, 475.200000
2192, 462.200000
2200, 451.400000
2208, 441.200000
2216, 439.600000
2224, 427.900000
2232, 440.300000
2240, 413.200000
2248, 425.400000
2256, 409.600000
2264, 427.200000
2272, 395.600000
2280, 394.500000
2288, 392.900000
2296, 395.400000
2304, 399.200000
2312, 390.500000
2320, 382.200000
2328, 374.600000
2336, 389.100000
2344, 377.300000
2352, 380.100000
2360, 371.000000
2368, 358.000000
2376, 374.100000
2384, 363.800000
2392, 363.800000
2400, 371.900000
2408, 354.100000
2416, 356.800000
2424, 354.600000
2432, 350.400000
2440, 348.900000
2448, 345.800000
2456, 354.100000
2464, 341.500000
2472, 340.100000
2480, 349.400000
2488, 335.800000
2496, 327.800000
2504, 341.600000
2512, 324.100000
2520, 326.000000
2528, 324.200000
2536, 318.100000
2544, 321.600000
2552, 311.200000
2560, 320.900000
2568, 320.500000
2576, 314.500000
2584, 304.500000
2592, 315.300000
2600, 306.700000
2608, 302.600000
2616, 292.900000
2624, 289.700000
2632, 293.500000
2640, 288.700000
2648, 304.500000
2656, 286.400000
2664, 289.400000
2672, 287.300000
2680, 284.900000
2688, 297.400000
2696, 295.100000
2704, 279.300000
2712, 284.400000
2720, 260.900000
2728, 275.900000
2736, 274.400000
2744, 286.600000
2752, 275.700000
2760, 271.900000
2768, 284.500000
2776, 260.300000
2784, 269.300000
2792, 261.200000
2800, 262.400000
2808, 269.800000
2816, 267.000000
2824, 265.200000
2832, 261.500000
2840, 261.200000
2848, 251.800000
2856, 254.800000
2864, 238.300000
2872, 245.500000
2880, 260.800000
2888, 251.700000
2896, 244.300000
2904, 254.400000
2912, 247.600000
2920, 241.000000
2928, 239.400000
2936, 248.100000
2944, 248.600000
2952, 233.700000
2960, 235.200000
2968, 232.400000
2976, 229.600000
2984, 237.600000
2992, 226.600000
3000, 229.800000
3008, 229.300000
3016, 241.500000
3024, 225.900000
3032, 231.200000
3040, 229.900000
3048, 226.500000
3056, 228.500000
3064, 229.100000
3072, 218.700000
3080, 226.900000
3088, 217.300000
3096, 215.700000
3104, 214.500000
3112, 216.900000
3120, 210.500000
3128, 209.700000
3136, 218.000000
3144, 205.600000
3152, 203.300000
3160, 202.100000
3168, 205.000000
3176, 201.700000
3184, 211.400000
3192, 201.900000
3200, 199.600000
3208, 192.900000
3216, 191.500000
3224, 196.300000
3232, 190.300000
3240, 188.700000
3248, 198.700000
3256, 197.800000
3264, 196.200000
3272, 202.700000
3280, 207.400000
3288, 188.900000
3296, 195.800000
3304, 194.400000
3312, 190.700000
3320, 188.800000
3328, 186.000000
3336, 189.600000
3344, 185.700000
3352, 188.900000
3360, 181.700000
3368, 186.600000
3376, 175.900000
3384, 179.600000
3392, 174.300000
3400, 169.900000
3408, 179.600000
3416, 182.700000
3424, 178.100000
3432, 169.900000
3440, 181.300000
3448, 172.700000
3456, 172.100000
3464, 175.300000
3472, 172.100000
3480, 173.200000
3488, 164.600000
3496, 174.600000
3504, 164.200000
3512, 156.600000
3520, 173.100000
3528, 166.200000
3536, 164.900000
3544, 162.100000
3552, 171.700000
3560, 163.700000
3568, 163.600000
3576, 163.200000
3584, 160.800000
3592, 160.800000
3600, 151.100000
3608, 160.500000
3616, 150.100000
3624, 161.000000
3632, 155.300000
3640, 147.800000
3648, 155.000000
3656, 151.000000
3664, 150.100000
3672, 153.400000
3680, 137.600000
3688, 143.500000
3696, 148.200000
3704, 153.600000
3712, 141.500000
3720, 127.600000
3728, 140.300000
3736, 133.900000
3744, 133.700000
3752, 133.100000
3760, 142.400000
3768, 128.400000
3776, 136.200000
3784, 128.400000
3792, 143.700000
3800, 135.500000
3808, 130.100000
3816, 128.000000
3824, 134.000000
3832, 134.400000
3840, 130.100000
3848, 121.800000
3856, 119.800000
3864, 127.500000
3872, 133.000000
3880, 127.500000
3888, 129.300000
3896, 112.400000
3904, 112.900000
3912, 129.200000
3920, 121.300000
3928, 124.000000
3936, 122.000000
3944, 121.700000
3952, 128.800000
3960, 125.900000
3968, 125.100000
3976, 127.300000
3984, 113.400000
3992, 128.700000
4000, 130.300000
4008, 127.600000
4016, 119.500000
4024, 113.200000
4032, 114.800000
4040, 117.600000
4048, 110.300000
4056, 117.100000
4064, 120.300000
4072, 119.500000
4080, 118.500000
4088, 117.400000
4096, 128.000000
4104, 116.900000
4112, 124.200000
4120, 126.900000
4128, 127.100000
4136, 114.700000
4144, 128.000000
4152, 114.100000
4160, 117.400000
4168, 116.700000
4176, 113.200000
4184, 117.700000
4192, 123.300000
4200, 119.600000
4208, 115.900000
4216, 119.800000
4224, 119.100000
4232, 109.800000
4240, 110.500000
4248, 119.500000
4256, 115.400000
4264, 113.100000
4272, 125.500000
4280, 115.000000
4288, 119.400000
4296, 117.400000
4304, 123.200000
4312, 130.500000
4320, 113.800000
4328, 124.000000
4336, 104.400000
4344, 122.300000
4352, 119.200000
4360, 114.700000
4368, 119.500000
4376, 119.400000
4384, 115.500000
4392, 116.600000
4400, 118.300000
4408, 112.300000
4416, 110.100000
4424, 111.900000
4432, 123.900000
4440, 117.200000
4448, 116.500000
4456, 119.800000
4464, 116.600000
4472, 106.900000
4480, 119.600000
4488, 110.700000
4496, 118.900000
4504, 125.700000
4512, 121.500000
4520, 124.100000
4528, 116.900000
4536, 109.200000
4544, 111.000000
4552, 118.900000
4560, 114.500000
4568, 110.000000
4576, 105.600000
4584, 120.100000
4592, 120.300000
4600, 118.800000
4608, 114.000000
4616, 110.400000
4624, 112.600000
4632, 119.500000
4640, 122.000000
4648, 105.200000
4656, 113.700000
4664, 100.400000
4672, 125.600000
4680, 107.500000
4688, 119.300000
4696, 121.400000
4704, 118.500000
4712, 114.100000
4720, 105.900000
4728, 116.900000
4736, 114.500000
4744, 119.300000
4752, 106.900000
4760, 108.100000
4768, 114.800000
4776, 121.500000
4784, 115.300000
4792, 119.600000
4800, 108.400000
4808, 108.500000
4816, 113.400000
4824, 118.500000
4832, 115.000000
4840, 110.200000
4848, 119.000000
4856, 114.900000
4864, 107.600000
4872, 114.000000
4880, 115.900000
4888, 112.800000
4896, 109.300000
4904, 114.100000
4912, 125.800000
4920, 114.600000
4928, 111.600000
4936, 118.500000
4944, 112.000000
4952, 103.500000
4960, 111.300000
4968, 113.800000
4976, 106.100000
4984, 110.100000
4992, 112.300000
5000, 103.800000
5008, 114.600000
5016, 117.200000
5024, 112.700000
5032, 107.600000
5040, 101.200000
5048, 113.000000
5056, 111.700000
5064, 114.300000
5072, 102.800000
5080, 106.100000
5088, 114.300000
5096, 107.900000
5104, 113.100000
5112, 103.800000
5120, 99.900000
5128, 107.300000
5136, 113.500000
5144, 100.900000
5152, 104.000000
5160, 104.700000
5168, 112.700000
5176, 107.800000
5184, 109.100000
5192, 105.200000
5200, 109.000000
5208, 108.800000
5216, 109.200000
5224, 109.800000
5232, 118.800000
5240, 114.200000
5248, 108.400000
5256, 109.900000
5264, 116.300000
5272, 109.100000
5280, 106.800000
5288, 109.800000
5296, 108.100000
5304, 105.500000
5312, 119.600000
5320, 111.500000
5328, 104.600000
5336, 107.500000
5344, 103.700000
5352, 108.400000
5360, 109.400000
5368, 105.600000
5376, 114.500000
5384, 102.300000
5392, 105.800000
5400, 106.900000
5408, 106.300000
5416, 106.600000
5424, 109.100000
5432, 112.300000
5440, 108.900000
5448, 110.700000
5456, 104.700000
5464, 112.000000
5472, 114.000000
5480, 112.800000
5488, 111.500000
5496, 104.200000
5504, 106.100000
5512, 106.100000
5520, 107.400000
5528, 102.200000
5536, 103.500000
5544, 100.600000
5552, 109.500000
5560, 104.600000
5568, 105.800000
5576, 113.200000
5584, 100.200000
5592, 101.700000
5600, 94.200000
5608, 103.200000
5616, 96.500000
5624, 108.200000
5632, 102.500000
5640, 111.600000
5648, 105.800000
5656, 108.600000
5664, 114.700000
5672, 109.700000
5680, 106.900000
5688, 100.100000
5696, 97.500000
5704, 104.000000
5712, 101.500000
5720, 115.900000
5728, 112.500000
5736, 101.600000
5744, 109.400000
5752, 106.100000
5760, 107.600000
5768, 110.900000
5776, 109.600000
5784, 102.200000
5792, 103.000000
5800, 111.800000
5808, 94.700000
5816, 104.900000
5824, 118.400000
5832, 97.000000
5840, 105.300000
5848, 100.700000
5856, 106.800000
5864, 105.100000
5872, 95.700000
5880, 108.200000
5888, 106.200000
5896, 101.600000
5904, 96.800000
5912, 110.200000
5920, 105.400000
5928, 106.600000
5936, 98.300000
5944, 106.700000
5952, 95.200000
5960, 95.900000
5968, 97.400000
5976, 96.500000
5984, 106.300000
5992, 97.700000
6000, 103.200000
6008, 106.500000
6016, 113.000000
6024, 108.100000
6032, 95.600000
6040, 105.200000
6048, 110.900000
6056, 104.200000
6064, 106.700000
6072, 108.600000
6080, 105.400000
6088, 108.400000
6096, 103.700000
6104, 103.700000
6112, 99.500000
6120, 107.400000
6128, 107.400000
6136, 92.500000
6144, 103.300000
6152, 111.100000
6160, 103.300000
6168, 100.000000
6176, 92.200000
6184, 104.500000
6192, 103.400000
6200, 104.100000
6208, 98.300000
6216, 110.400000
6224, 105.200000
6232, 102.600000
6240, 91.200000
6248, 94.800000
6256, 97.100000
6264, 98.900000
6272, 102.500000
6280, 99.500000
6288, 101.000000
6296, 99.200000
6304, 98.800000
6312, 102.600000
6320, 104.800000
6328, 95.600000
6336, 100.000000
6344, 105.300000
6352, 105.100000
6360, 109.700000
6368, 116.400000
6376, 107.600000
6384, 102.900000
6392, 95.500000
6400, 101.500000
6408, 102.600000
6416, 110.400000
6424, 91.700000
6432, 99.400000
6440, 111.500000
6448, 96.600000
6456, 94.200000
6464, 99.900000
6472, 103.000000
6480, 103.300000
6488, 102.500000
6496, 104.700000
6504, 97.100000
6512, 93.700000
6520, 99.100000
6528, 107.400000
6536, 100.300000
6544, 106.400000
6552, 100.300000
6560, 99.500000
6568, 87.600000
6576, 95.900000
6584, 90.700000
6592, 96.900000
6600, 99.200000
6608, 97.800000
6616, 98.300000
6624, 103.200000
6632, 99.000000
6640, 102.800000
6648, 104.400000
6656, 92.300000
6664, 93.300000
6672, 104.100000
6680, 105.600000
6688, 95.300000
6696, 104.900000
6704, 87.800000
6712, 104.700000
6720, 99.500000
6728, 95.400000
6736, 89.600000
6744, 102.800000
6752, 106.700000
6760, 100.000000
6768, 89.500000
6776, 102.500000
6784, 97.000000
6792, 95.000000
6800, 98.400000
6808, 102.300000
6816, 103.100000
6824, 101.800000
6832, 97.600000
6840, 99.700000
6848, 94.900000
6856, 94.400000
6864, 98.200000
6872, 97.200000
6880, 90.200000
6888, 97.700000
6896, 97.500000
6904, 109.800000
6912, 100.500000
6920, 94.300000
6928, 102.700000
6936, 106.400000
6944, 102.700000
6952, 97.500000
6960, 88.700000
6968, 102.700000
6976, 98.600000
6984, 102.500000
6992, 105.600000
7000, 95.600000
7008, 98.500000
7016, 93.000000
7024, 94.300000
7032, 97.100000
7040, 95.100000
7048, 103.000000
7056, 99.600000
7064, 90.800000
7072, 106.400000
7080, 89.600000
7088, 91.700000
7096, 107.400000
7104, 98.900000
7112, 90.200000
7120, 97.300000
7128, 87.000000
7136, 103.900000
7144, 92.200000
7152, 93.700000
7160, 92.300000
7168, 92.000000
7176, 100.900000
7184, 108.300000
7192, 90.600000
7200, 95.900000
7208, 94.000000
7216, 90.700000
7224, 101.400000
7232, 92.000000
7240, 93.100000
7248, 102.000000
7256, 91.800000
7264, 97.000000
7272, 94.500000
7280, 103.200000
7288, 99.100000
7296, 94.900000
7304, 93.400000
7312, 99.000000
7320, 110.800000
7328, 96.600000
7336, 93.400000
7344, 110.700000
7352, 91.000000
7360, 91.800000
7368, 99.700000
7376, 93.200000
7384, 93.000000
7392, 88.400000
7400, 95.200000
7408, 89.100000
7416, 94.100000
7424, 88.400000
7432, 94.000000
7440, 90.500000
7448, 91.600000
7456, 95.900000
7464, 90.700000
7472, 91.500000
7480, 98.600000
7488, 87.800000
7496, 90.000000
7504, 94.900000
7512, 91.500000
7520, 90.500000
7528, 109.000000
7536, 92.200000
7544, 95.000000
7552, 100.400000
7560, 90.500000
7568, 94.800000
7576, 96.100000
7584, 95.800000
7592, 102.800000
7600, 82.900000
7608, 83.300000
7616, 98.800000
7624, 91.900000
7632, 92.400000
7640, 94.800000
7648, 95.200000
7656, 94.900000
7664, 99.400000
7672, 93.700000
7680, 96.300000
7688, 95.600000
7696, 87.000000
7704, 99.800000
7712, 86.300000
7720, 86.400000
7728, 87.300000
7736, 91.800000
7744, 95.000000
7752, 90.000000
7760, 98.000000
7768, 97.600000
7776, 94.900000
7784, 97.500000
7792, 92.700000
7800, 89.000000
7808, 89.200000
7816, 87.600000
7824, 95.600000
7832, 92.700000
7840, 93.400000
7848, 88.300000
7856, 91.700000
7864, 90.100000
7872, 83.700000
7880, 88.900000
7888, 87.800000
7896, 87.400000
7904, 88.500000
7912, 85.500000
7920, 94.100000
7928, 90.500000
7936, 95.600000
7944, 88.700000
7952, 87.200000
7960, 87.800000
7968, 88.900000
7976, 88.200000
7984, 84.600000
7992, 87.600000
8000, 86.200000
8008, 97.800000
8016, 93.000000
8024, 93.800000
8032, 85.800000
8040, 90.700000
8048, 90.100000
8056, 92.000000
8064, 95.200000
8072, 92.100000
8080, 90.500000
8088, 88.600000
8096, 91.400000
8104, 88.700000
8112, 93.600000
8120, 91.900000
8128, 96.300000
8136, 83.500000
8144, 89.000000
8152, 87.800000
8160, 92.200000
8168, 94.700000
8176, 89.700000
8184, 91.800000
